Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2010,  0.007,  0.058, -0.045,  0.021,  0.057, -0.075,  0.259, -0.074,  0.005,  0.114, -0.000, -0.102,  0.091, -0.324
2011, -0.096, -0.127, -0.066, -0.080, -0.263,  0.110,  0.198, -0.125, -0.143, -0.197, -0.329, -0.010,  0.095,  0.497
2012, -0.061, -0.086, -0.035, -0.054, -0.086, -0.034,  0.240, -0.190, -0.061, -0.134, -0.037, -0.056, -0.004, -0.027
2013, -0.031, -0.095,  0.033, -0.112, -0.027,  0.045, -0.443, -0.063, -0.034, -0.069,  0.015,  0.048,  0.007,  0.110
2014,  0.030,  0.042,  0.017,  0.009,  0.045,  0.029, -0.173,  0.098,  0.010,  0.091, -0.001,  0.108, -0.009, -0.130
2015,  0.113,  0.189,  0.038,  0.145,  0.233, -0.078, -0.366,  0.346,  0.182,  0.254,  0.212,  0.108, -0.111, -0.570
2016,  0.315,  0.402,  0.228,  0.475,  0.372,  0.079,  1.186,  0.307,  0.349,  0.292,  0.452,  0.066, -0.024,  0.323
2017,  0.208,  0.253,  0.164,  0.291,  0.167,  0.180,  0.253,  0.270,  0.317,  0.196,  0.138,  0.198,  0.194,  0.099
2018,  0.100,  0.097,  0.103,  0.131,  0.019,  0.177,  0.134, -0.016,  0.228,  0.046, -0.008,  0.142,  0.103,  0.434
2019,  0.327,  0.366,  0.288,  0.409,  0.336,  0.232,  0.773,  0.446,  0.263,  0.302,  0.370,  0.267,  0.008,  0.578
2020,  0.271,  0.411,  0.131,  0.559,  0.190,  0.092,  0.761,  0.748,  0.367,  0.190,  0.190, -0.019,  0.125,  0.359
2021,  0.088,  0.191, -0.014,  0.316, -0.037,  0.028, -0.040,  0.308,  0.441,  0.004, -0.078,  0.057,  0.037, -0.079
2022, -0.022,  0.059, -0.104,  0.236, -0.253,  0.026,  0.218,  0.228,  0.247, -0.207, -0.298, -0.048,  0.005,  0.289
2023,  0.210,  0.300,  0.119,  0.351,  0.165,  0.128,  0.268,  0.488,  0.288,  0.224,  0.106,  0.084,  0.088,  0.340
